Tahun,centroid_0,centroid_1,centroid_2,centroid_3,centroid_4,centroid_5,centroid_6,centroid_7,centroid_8,centroid_9,centroid_10,centroid_11,centroid_12,centroid_13,centroid_14,centroid_15,centroid_16,centroid_17,centroid_18,centroid_19,centroid_20,centroid_21,centroid_22,centroid_23,centroid_24,centroid_25,centroid_26,centroid_27,centroid_28,centroid_29,centroid_30,centroid_31,centroid_32,centroid_33,centroid_34,centroid_35,centroid_36,centroid_37,centroid_38,centroid_39,centroid_40,centroid_41,centroid_42,centroid_43,centroid_44,centroid_45,centroid_46,centroid_47,centroid_48,centroid_49,centroid_50,centroid_51,centroid_52,centroid_53,centroid_54,centroid_55,centroid_56,centroid_57,centroid_58,centroid_59,centroid_60,centroid_61,centroid_62,centroid_63,centroid_64,centroid_65,centroid_66,centroid_67,centroid_68,centroid_69,centroid_70,centroid_71,centroid_72,centroid_73,centroid_74,centroid_75,centroid_76,centroid_77,centroid_78,centroid_79,centroid_80,centroid_81,centroid_82,centroid_83,centroid_84,centroid_85,centroid_86,centroid_87,centroid_88,centroid_89,centroid_90,centroid_91,centroid_92
2,136.7892123,136.7892123,139.558597,139.558597,143.1849407,105.6544228,119.7339839,109.0680109,109.0680109,117.2490263,110.3560918,112.8583881,123.9465728,102.7532492,107.8017672,107.8017672,101.0222782,120.0118425,120.0118425,95.35137984,95.35137984,91.23817238,108.8844744,91.23817238,97.0155714,92.01950816,114.5995492,116.0614036,118.9289592,93.36236239,89.14854379,102.9083624,84.03039563,88.44652463,99.82971688,120.9709425,91.67224901,123.1829804,113.501848,102.2510532,115.0439631,101.8910148,105.6693706,105.6693706,111.4496468,123.5270437,104.2057559,106.4127881,140.372152,109.2019604,103.7581594,103.7581594,103.7581594,125.1135911,130.9672118,116.7979989,116.7979989,113.8555216,130.5480875,131.059655,131.059655,131.059655,100.6965473,93.22564877,101.2783103,101.2783103,88.07775483,86.3862804,88.07775483,86.3862804,91.19893076,93.38904043,98.08474145,102.4803455,108.655916,122.4304713,106.9713617,116.539907,116.539907,116.539907,105.8764874,101.6143381,100.5918762,113.9264735,105.0976949,105.0976949,118.7166752,127.7709175,121.6166595,121.6166595,116.0112916,121.993971,118.6604291
5,177.0066986,177.0066986,177.4686317,177.4686317,191.4227006,129.7374882,149.6724414,138.2742873,138.2742873,146.7964336,132.914924,142.7485395,152.2355231,129.6554585,136.3818159,136.3818159,123.0869611,153.3882862,153.3882862,116.3973723,116.3973723,109.9308624,136.6500239,109.9308624,115.2745737,104.4639042,142.1412043,145.3980396,145.4532869,110.2141477,104.4632709,125.9309517,105.6059666,105.473295,125.4654787,154.2281026,113.3468822,158.5240327,132.6756516,120.0416541,144.8273204,120.7799695,131.3739838,131.3739838,137.3329372,156.268145,124.3079756,126.650932,188.0179756,131.0905124,124.413571,124.413571,124.413571,158.8820418,172.389014,141.1010802,141.1010802,144.099802,164.1807921,163.1106767,163.1106767,163.1106767,124.3881682,114.7191486,125.0602827,125.0602827,103.9307739,105.8128368,103.9307739,105.8128368,113.4868517,113.4219973,123.8394085,134.1730999,140.5173126,159.9250685,140.4090161,157.9441216,157.9441216,157.9441216,135.6778295,127.3265934,121.0369906,141.7274851,127.2801831,127.2801831,148.8022783,155.5107784,152.2142379,152.2142379,139.0344076,145.0708679,143.9602541
10,203.634174,203.634174,202.5683733,202.5683733,223.360295,145.682573,169.4943052,157.6113836,157.6113836,166.3593882,147.8508338,162.5384205,170.9652697,147.4670619,155.304295,155.304295,137.6957011,175.4863961,175.4863961,130.3316506,130.3316506,122.3070497,155.0332337,122.3070497,127.3636219,112.7031772,160.3761765,164.8214453,163.0146997,121.3714959,114.6029529,141.1739092,119.890872,116.7464985,142.4385837,176.2472363,127.6973754,181.9228844,145.3703779,131.8205799,164.5464945,133.2861012,148.3926744,148.3926744,154.4699277,177.945603,137.6173941,140.0503443,219.5636566,145.5826383,138.0892507,138.0892507,138.0892507,181.2396945,199.8138512,157.1918347,157.1918347,164.1241472,186.448569,184.3312419,184.3312419,184.3312419,140.0740827,128.9497157,140.8060177,140.8060177,114.4268519,118.6749075,114.4268519,118.6749075,128.2433947,126.6855578,140.8912391,155.156461,161.6123295,184.7497544,162.5476528,185.3573143,185.3573143,185.3573143,155.4089112,144.3503437,134.5734354,160.1341738,141.9669205,141.9669205,168.7215655,173.87698,172.4724972,172.4724972,154.2777138,160.3497816,160.7109396
20,229.1758876,229.1758876,226.6446481,226.6446481,253.9956024,160.9774812,188.5079129,176.1599907,176.1599907,185.124644,162.1777171,181.5213495,188.9312923,164.5523795,173.4551912,173.4551912,151.7087552,196.6834337,196.6834337,143.6977449,143.6977449,134.1785857,172.6668498,134.1785857,138.9597273,120.6064857,177.8675996,183.4528424,179.8600286,132.0738922,124.3291792,155.7953199,133.5932962,127.5600259,158.7195934,197.3685181,141.462713,204.3676247,157.5474642,143.1192084,183.4615997,145.2822829,164.7174109,164.7174109,170.9081404,198.7391411,150.3841079,152.9033823,249.8230312,159.4838335,151.2072911,151.2072911,151.2072911,202.6856917,226.1204136,172.6264728,172.6264728,183.3319799,207.8083553,204.6865175,204.6865175,204.6865175,155.1203884,142.6000173,155.9097048,155.9097048,124.4949419,131.0125146,124.4949419,131.0125146,142.398225,139.4082836,157.2477644,175.2842047,181.8471762,208.562189,183.7835646,211.6527069,211.6527069,211.6527069,174.3354383,160.6799337,147.5579181,177.7903115,156.0547915,156.0547915,187.8286239,191.4942816,191.9047059,191.9047059,168.899459,175.0056824,176.7785993
25,237.2780597,237.2780597,234.2819634,234.2819634,263.7135302,165.8292299,194.5392827,182.0438561,182.0438561,191.0772332,166.7223954,187.5429876,194.6303542,169.97207,179.2128975,179.2128975,156.1538828,203.4074166,203.4074166,147.9376482,147.9376482,137.9443951,178.2604679,137.9443951,142.6381665,123.1135205,183.4161121,189.36297,185.2035915,135.4688349,127.4144679,160.4334263,137.9398878,130.990221,163.8841468,204.0684702,145.8292616,211.4873955,161.4101983,146.7032839,189.4617232,149.0876316,169.895835,169.895835,176.1225605,205.3351285,154.4338798,156.9805372,259.4217082,163.8934779,155.3685083,155.3685083,155.3685083,209.4886479,234.4652058,177.5225457,177.5225457,189.4249605,214.5839642,211.1434822,211.1434822,211.1434822,159.8932772,146.9300749,160.7007957,160.7007957,127.6886743,134.926168,127.6886743,134.926168,146.8883259,143.4441018,162.4362723,181.6689933,188.2659393,216.1158107,190.5198789,219.9939559,219.9939559,219.9939559,180.3391851,165.8598973,151.6767691,183.3910738,160.5236521,160.5236521,193.8896376,197.0827245,198.0688616,198.0688616,173.5376715,179.6547296,181.8754752
50,262.237016,262.237016,257.8089162,257.8089162,293.6498653,180.7751709,213.1190777,200.1692599,200.1692599,209.4143427,180.7223979,206.0928039,212.1864657,186.6675706,196.9496646,196.9496646,169.8472164,224.1208246,224.1208246,160.998783,160.998783,149.5450713,195.4917572,149.5450713,153.9696962,130.8365078,200.5084526,207.5692749,201.6645789,145.9270464,136.9187816,174.7212363,151.3296788,141.557028,179.7936906,224.7078508,159.2805305,233.4200388,173.3094534,157.7441239,207.9452631,160.8101096,185.8481079,185.8481079,192.1857205,225.6542433,166.9093095,169.5403215,288.9906878,177.4775047,168.1872487,168.1872487,168.1872487,230.4453352,260.1715601,192.6050285,192.6050285,208.1945492,235.4564076,231.0343338,231.0343338,231.0343338,174.5962879,160.2689325,175.4598785,175.4598785,137.5270517,146.9822813,137.5270517,146.9822813,160.720201,155.876547,178.4196086,201.3375044,208.0391097,239.3849432,211.2712742,245.6893954,245.6893954,245.6893954,198.8338864,181.816913,164.3649992,200.6443707,174.2900956,174.2900956,212.5607512,214.2980713,217.0577068,217.0577068,187.8258083,193.9762428,197.5765367
100,287.0116794,287.0116794,281.1621497,281.1621497,323.3651552,195.6107535,231.5616825,218.1608286,218.1608286,227.6160538,194.6190266,224.5056513,229.6129457,203.2397943,214.5554662,214.5554662,183.4394406,244.681288,244.681288,173.9634764,173.9634764,161.0600898,212.5958133,161.0600898,165.2175556,138.5024698,217.4745859,225.6411473,218.004021,156.308036,146.3529169,188.9035473,164.6206016,152.0458114,195.5857608,245.1948334,172.6324774,255.1907348,185.1208462,168.7034401,226.2923235,172.4460306,201.6825918,201.6825918,208.1302727,245.8233248,179.2926225,182.0073663,318.3413346,190.9612292,180.9113375,180.9113375,180.9113375,251.2472817,285.6881027,207.5761447,207.5761447,226.8255461,256.1747322,250.7783145,250.7783145,250.7783145,189.1907339,173.5092981,190.1099825,190.1099825,147.2927841,158.9493743,147.2927841,158.9493743,174.4499437,168.217193,194.2849266,220.8607863,227.666278,262.48226,231.8694444,271.1951037,271.1951037,271.1951037,217.1920258,197.6561045,176.9595413,217.770272,187.9548899,187.9548899,231.0940003,231.3863028,235.9063414,235.9063414,202.0084439,208.1920082,213.1616641
